state_name,year,month,demand
CHHATTISGARH,2017,12,734417
CHHATTISGARH,2018,1,1004357
CHHATTISGARH,2018,2,1104910
CHHATTISGARH,2018,3,1329778
GOA,2017,4,880
GOA,2017,5,985
GOA,2017,6,2348
GOA,2017,7,3227
GOA,2017,8,2782
GOA,2017,9,1454
GOA,2017,10,698
GOA,2017,11,369
GOA,2017,12,384
GOA,2018,1,367
GOA,2018,2,765
GOA,2018,3,305
GUJARAT,2017,4,219622
GUJARAT,2017,5,439154
GUJARAT,2017,6,377363
GUJARAT,2017,7,137542
GUJARAT,2017,8,150474
GUJARAT,2017,9,142081
GUJARAT,2017,10,133066
GUJARAT,2017,11,142491
GUJARAT,2017,12,133532
GUJARAT,2018,1,243902
GUJARAT,2018,2,268664
GUJARAT,2018,3,230538
HARYANA,2017,4,39282
HARYANA,2017,5,101131
HARYANA,2017,6,132633
HARYANA,2017,7,90329
HARYANA,2017,8,87909
HARYANA,2017,9,81633
HARYANA,2017,10,56035
HARYANA,2017,11,50036
HARYANA,2017,12,75735
HARYANA,2018,1,85587
HARYANA,2018,2,75743
HARYANA,2018,3,67299
HIMACHAL PRADESH,2017,4,103440
HIMACHAL PRADESH,2017,5,175660
HIMACHAL PRADESH,2017,6,172046
HIMACHAL PRADESH,2017,7,169790
HIMACHAL PRADESH,2017,8,137586
HIMACHAL PRADESH,2017,9,158278
HIMACHAL PRADESH,2017,10,129311
HIMACHAL PRADESH,2017,11,96385
HIMACHAL PRADESH,2017,12,105916
HIMACHAL PRADESH,2018,1,140890
HIMACHAL PRADESH,2018,2,161421
HIMACHAL PRADESH,2018,3,189561
JAMMU AND KASHMIR,2017,4,41008
JAMMU AND KASHMIR,2017,5,53842
JAMMU AND KASHMIR,2017,6,63087
JAMMU AND KASHMIR,2017,7,87823
JAMMU AND KASHMIR,2017,8,89080
JAMMU AND KASHMIR,2017,9,85024
JAMMU AND KASHMIR,2017,10,145296
JAMMU AND KASHMIR,2017,11,114438
JAMMU AND KASHMIR,2017,12,105444
JAMMU AND KASHMIR,2018,1,238685
JAMMU AND KASHMIR,2018,2,282552
JAMMU AND KASHMIR,2018,3,279812
JHARKHAND,2017,4,644586
JHARKHAND,2017,5,674210
JHARKHAND,2017,6,659657
JHARKHAND,2017,7,563406
JHARKHAND,2017,8,493391
JHARKHAND,2017,9,495447
JHARKHAND,2017,10,494328
JHARKHAND,2017,11,425175
JHARKHAND,2017,12,459407
JHARKHAND,2018,1,461234
JHARKHAND,2018,2,479821
JHARKHAND,2018,3,493419
KARNATAKA,2017,4,450455
KARNATAKA,2017,5,662763
KARNATAKA,2017,6,719506
KARNATAKA,2017,7,700110
KARNATAKA,2017,8,542019
KARNATAKA,2017,9,438796
KARNATAKA,2017,10,513599
KARNATAKA,2017,11,276734
KARNATAKA,2017,12,336877
KARNATAKA,2018,1,389967
KARNATAKA,2018,2,444704
KARNATAKA,2018,3,461487
KERALA,2017,4,56673
KERALA,2017,5,213503
KERALA,2017,6,292712
KERALA,2017,7,336003
KERALA,2017,8,464741
KERALA,2017,9,440258
KERALA,2017,10,662576
KERALA,2017,11,661721
KERALA,2017,12,752009
KERALA,2018,1,854298
KERALA,2018,2,893303
KERALA,2018,3,897391
LADAKH,2017,4,0
LADAKH,2017,5,0
LADAKH,2017,6,0
LADAKH,2017,7,0
LADAKH,2017,8,0
LADAKH,2017,9,0
LADAKH,2017,10,0
LADAKH,2017,11,0
LADAKH,2017,12,0
LADAKH,2018,1,0
LADAKH,2018,2,0
LADAKH,2018,3,0
MADHYA PRADESH,2017,4,1082112
MADHYA PRADESH,2017,5,1692154
MADHYA PRADESH,2017,6,1801111
MADHYA PRADESH,2017,7,1171453
MADHYA PRADESH,2017,8,818902
MADHYA PRADESH,2017,9,977593
MADHYA PRADESH,2017,10,972926
MADHYA PRADESH,2017,11,930948
MADHYA PRADESH,2017,12,1147014
MADHYA PRADESH,2018,1,1179492
MADHYA PRADESH,2018,2,1027223
MADHYA PRADESH,2018,3,732662
MAHARASHTRA,2017,4,645842
MAHARASHTRA,2017,5,749688
MAHARASHTRA,2017,6,636169
MAHARASHTRA,2017,7,310340
MAHARASHTRA,2017,8,289302
MAHARASHTRA,2017,9,275983
MAHARASHTRA,2017,10,226558
MAHARASHTRA,2017,11,276298
MAHARASHTRA,2017,12,380261
MAHARASHTRA,2018,1,511622
MAHARASHTRA,2018,2,608108
MAHARASHTRA,2018,3,660120
MANIPUR,2017,4,24599
MANIPUR,2017,5,10943
MANIPUR,2017,6,39644
MANIPUR,2017,7,108614
MANIPUR,2017,8,113833
MANIPUR,2017,9,147239
MANIPUR,2017,10,56097
MANIPUR,2017,11,53661
MANIPUR,2017,12,236527
MANIPUR,2018,1,122188
MANIPUR,2018,2,145635
MANIPUR,2018,3,379119
MEGHALAYA,2017,4,22721
MEGHALAYA,2017,5,52873
MEGHALAYA,2017,6,94327
MEGHALAYA,2017,7,113737
MEGHALAYA,2017,8,137174
MEGHALAYA,2017,9,125576
MEGHALAYA,2017,10,153927
MEGHALAYA,2017,11,157392
MEGHALAYA,2017,12,145912
MEGHALAYA,2018,1,207912
MEGHALAYA,2018,2,155264
MEGHALAYA,2018,3,176997
MIZORAM,2017,4,183387
MIZORAM,2017,5,169629
MIZORAM,2017,6,183339
MIZORAM,2017,7,183709
MIZORAM,2017,8,183903
MIZORAM,2017,9,156257
MIZORAM,2017,10,107797
MIZORAM,2017,11,10394
MIZORAM,2017,12,73714
MIZORAM,2018,1,110399
MIZORAM,2018,2,85635
MIZORAM,2018,3,184839
NAGALAND,2017,4,366895
NAGALAND,2017,5,367006
NAGALAND,2017,6,307574
NAGALAND,2017,7,92047
NAGALAND,2017,8,22627
NAGALAND,2017,9,8328
NAGALAND,2017,10,4121
NAGALAND,2017,11,3300
NAGALAND,2017,12,59506
NAGALAND,2018,1,284684
NAGALAND,2018,2,358241
NAGALAND,2018,3,348034
ODISHA,2017,4,514981
ODISHA,2017,5,674061
ODISHA,2017,6,638377
ODISHA,2017,7,604863
ODISHA,2017,8,572131
ODISHA,2017,9,370697
ODISHA,2017,10,219566
ODISHA,2017,11,509079
ODISHA,2017,12,521465
ODISHA,2018,1,574655
ODISHA,2018,2,730547
ODISHA,2018,3,866812
PUNJAB,2017,4,91473
PUNJAB,2017,5,314907
PUNJAB,2017,6,283047
PUNJAB,2017,7,180907
PUNJAB,2017,8,243176
PUNJAB,2017,9,282135
PUNJAB,2017,10,196095
PUNJAB,2017,11,221357
PUNJAB,2017,12,224071
PUNJAB,2018,1,201974
PUNJAB,2018,2,192481
PUNJAB,2018,3,172432
RAJASTHAN,2017,4,1795271
RAJASTHAN,2017,5,2723955
RAJASTHAN,2017,6,2690520
RAJASTHAN,2017,7,1287093
RAJASTHAN,2017,8,691057
RAJASTHAN,2017,9,758324
RAJASTHAN,2017,10,688509
RAJASTHAN,2017,11,934460
RAJASTHAN,2017,12,1366325
RAJASTHAN,2018,1,1724320
RAJASTHAN,2018,2,1683282
RAJASTHAN,2018,3,1136214
SIKKIM,2017,4,14143
SIKKIM,2017,5,10089
SIKKIM,2017,6,13193
SIKKIM,2017,7,27296
SIKKIM,2017,8,30330
SIKKIM,2017,9,18784
SIKKIM,2017,10,9638
SIKKIM,2017,11,8273
SIKKIM,2017,12,8000
SIKKIM,2018,1,14448
SIKKIM,2018,2,37437
SIKKIM,2018,3,37448
TAMIL NADU,2017,4,2142038
TAMIL NADU,2017,5,3043458
TAMIL NADU,2017,6,3769998
TAMIL NADU,2017,7,3469600
TAMIL NADU,2017,8,2955932
TAMIL NADU,2017,9,2100668
TAMIL NADU,2017,10,2448163
TAMIL NADU,2017,11,1540830
TAMIL NADU,2017,12,1062848
TAMIL NADU,2018,1,799962
TAMIL NADU,2018,2,1160228
TAMIL NADU,2018,3,1445961
TELANGANA,2017,4,2187292
TELANGANA,2017,5,2628598
TELANGANA,2017,6,2255071
TELANGANA,2017,7,469223
TELANGANA,2017,8,120514
TELANGANA,2017,9,73235
TELANGANA,2017,10,61662
TELANGANA,2017,11,56039
TELANGANA,2017,12,59707
TELANGANA,2018,1,209285
TELANGANA,2018,2,661824
TELANGANA,2018,3,1292605
TRIPURA,2017,4,3883
TRIPURA,2017,5,87480
TRIPURA,2017,6,248139
TRIPURA,2017,7,304110
TRIPURA,2017,8,379232
TRIPURA,2017,9,158672
TRIPURA,2017,10,68588
TRIPURA,2017,11,114656
TRIPURA,2017,12,210919
TRIPURA,2018,1,226852
TRIPURA,2018,2,35638
TRIPURA,2018,3,46757
UTTAR PRADESH,2017,4,592419
UTTAR PRADESH,2017,5,1793362
UTTAR PRADESH,2017,6,2240189
UTTAR PRADESH,2017,7,1417259
UTTAR PRADESH,2017,8,936622
UTTAR PRADESH,2017,9,708738
UTTAR PRADESH,2017,10,882957
UTTAR PRADESH,2017,11,983252
UTTAR PRADESH,2017,12,1286718
UTTAR PRADESH,2018,1,1526348
UTTAR PRADESH,2018,2,1488127
UTTAR PRADESH,2018,3,1528235
UTTARAKHAND,2017,4,116298
UTTARAKHAND,2017,5,137597
UTTARAKHAND,2017,6,140178
UTTARAKHAND,2017,7,145035
UTTARAKHAND,2017,8,136629
UTTARAKHAND,2017,9,123803
UTTARAKHAND,2017,10,100450
UTTARAKHAND,2017,11,105519
UTTARAKHAND,2017,12,133172
UTTARAKHAND,2018,1,165724
UTTARAKHAND,2018,2,183383
UTTARAKHAND,2018,3,160393
WEST BENGAL,2017,4,1144507
WEST BENGAL,2017,5,2159033
WEST BENGAL,2017,6,2623153
WEST BENGAL,2017,7,1798144
WEST BENGAL,2017,8,1021160
WEST BENGAL,2017,9,1102463
WEST BENGAL,2017,10,1541080
WEST BENGAL,2017,11,1628931
WEST BENGAL,2017,12,2101941
WEST BENGAL,2018,1,2084370
WEST BENGAL,2018,2,2015993
WEST BENGAL,2018,3,711967
ANDAMAN AND NICOBAR,2017,4,2089
ANDAMAN AND NICOBAR,2017,5,2592
ANDAMAN AND NICOBAR,2017,6,1620
ANDAMAN AND NICOBAR,2017,7,1714
ANDAMAN AND NICOBAR,2017,8,981
ANDAMAN AND NICOBAR,2017,9,550
ANDAMAN AND NICOBAR,2017,10,623
ANDAMAN AND NICOBAR,2017,11,200
ANDAMAN AND NICOBAR,2017,12,349
ANDAMAN AND NICOBAR,2018,1,1207
ANDAMAN AND NICOBAR,2018,2,3063
ANDAMAN AND NICOBAR,2018,3,2705
DN HAVELI AND DD,2017,4,0
DN HAVELI AND DD,2017,5,0
DN HAVELI AND DD,2017,6,0
DN HAVELI AND DD,2017,7,0
DN HAVELI AND DD,2017,8,0
DN HAVELI AND DD,2017,9,0
DN HAVELI AND DD,2017,10,0
DN HAVELI AND DD,2017,11,0
DN HAVELI AND DD,2017,12,0
DN HAVELI AND DD,2018,1,0
DN HAVELI AND DD,2018,2,0
DN HAVELI AND DD,2018,3,0
LAKSHADWEEP,2017,4,0
LAKSHADWEEP,2017,5,0
LAKSHADWEEP,2017,6,0
LAKSHADWEEP,2017,7,0
LAKSHADWEEP,2017,8,52
LAKSHADWEEP,2017,9,84
LAKSHADWEEP,2017,10,47
LAKSHADWEEP,2017,11,99
LAKSHADWEEP,2017,12,47
LAKSHADWEEP,2018,1,67
LAKSHADWEEP,2018,2,67
LAKSHADWEEP,2018,3,86
PUDUCHERRY,2017,4,4040
PUDUCHERRY,2017,5,23023
PUDUCHERRY,2017,6,24072
PUDUCHERRY,2017,7,21542
PUDUCHERRY,2017,8,6703
PUDUCHERRY,2017,9,78
PUDUCHERRY,2017,10,231
PUDUCHERRY,2017,11,148
PUDUCHERRY,2017,12,829
PUDUCHERRY,2018,1,2338
PUDUCHERRY,2018,2,8521
PUDUCHERRY,2018,3,14233
ANDHRA PRADESH,2018,4,3249591
ANDHRA PRADESH,2018,5,3624279
ANDHRA PRADESH,2018,6,3454068
ANDHRA PRADESH,2018,7,2611524
ANDHRA PRADESH,2018,8,1664903
ANDHRA PRADESH,2018,9,1353802
ANDHRA PRADESH,2018,10,1315609
ANDHRA PRADESH,2018,11,1447614
ANDHRA PRADESH,2018,12,1726157
ANDHRA PRADESH,2019,1,1804435
ANDHRA PRADESH,2019,2,2420501
ANDHRA PRADESH,2019,3,2649850
ARUNACHAL PRADESH,2018,4,21188
ARUNACHAL PRADESH,2018,5,21878
ARUNACHAL PRADESH,2018,6,30467
ARUNACHAL PRADESH,2018,7,21667
ARUNACHAL PRADESH,2018,8,25064
ARUNACHAL PRADESH,2018,9,29642
ARUNACHAL PRADESH,2018,10,44013
ARUNACHAL PRADESH,2018,11,35392
ARUNACHAL PRADESH,2018,12,57957
ARUNACHAL PRADESH,2019,1,78451
ARUNACHAL PRADESH,2019,2,67945
ARUNACHAL PRADESH,2019,3,34759
ASSAM,2018,4,282692
ASSAM,2018,5,412563
ASSAM,2018,6,419305
ASSAM,2018,7,298004
ASSAM,2018,8,362281
ASSAM,2018,9,366679
ASSAM,2018,10,295780
ASSAM,2018,11,287372
ASSAM,2018,12,321295
ASSAM,2019,1,523612
ASSAM,2019,2,704284
ASSAM,2019,3,941055
BIHAR,2018,4,885193
BIHAR,2018,5,1357379
BIHAR,2018,6,1483424
BIHAR,2018,7,626840
BIHAR,2018,8,373469
BIHAR,2018,9,346650
BIHAR,2018,10,496342
BIHAR,2018,11,700690
BIHAR,2018,12,943867
BIHAR,2019,1,1023914
BIHAR,2019,2,1002105
BIHAR,2019,3,819290
CHHATTISGARH,2018,4,1369169
CHHATTISGARH,2018,5,1605436
CHHATTISGARH,2018,6,1252200
CHHATTISGARH,2018,7,270493
CHHATTISGARH,2018,8,264456
CHHATTISGARH,2018,9,272272
CHHATTISGARH,2018,10,401619
CHHATTISGARH,2018,11,382564
CHHATTISGARH,2018,12,809288
CHHATTISGARH,2019,1,1231104
CHHATTISGARH,2019,2,1187706
CHHATTISGARH,2019,3,1061618
GOA,2018,4,108
GOA,2018,5,152
GOA,2018,6,200
GOA,2018,7,94
GOA,2018,8,110
GOA,2018,9,249
GOA,2018,10,198
GOA,2018,11,184
GOA,2018,12,188
GOA,2019,1,369
GOA,2019,2,245
GOA,2019,3,193
GUJARAT,2018,4,211945
GUJARAT,2018,5,462930
GUJARAT,2018,6,428313
GUJARAT,2018,7,163526
GUJARAT,2018,8,119492
GUJARAT,2018,9,105500
GUJARAT,2018,10,137326
GUJARAT,2018,11,124294
GUJARAT,2018,12,293405
GUJARAT,2019,1,324297
GUJARAT,2019,2,329855
GUJARAT,2019,3,209321
HARYANA,2018,4,32417
HARYANA,2018,5,75832
HARYANA,2018,6,72734
HARYANA,2018,7,47517
HARYANA,2018,8,52423
HARYANA,2018,9,55727
HARYANA,2018,10,45780
HARYANA,2018,11,53546
HARYANA,2018,12,98438
HARYANA,2019,1,93053
HARYANA,2019,2,84683
HARYANA,2019,3,67316
HIMACHAL PRADESH,2018,4,168144
HIMACHAL PRADESH,2018,5,211126
HIMACHAL PRADESH,2018,6,221212
HIMACHAL PRADESH,2018,7,185540
HIMACHAL PRADESH,2018,8,137915
HIMACHAL PRADESH,2018,9,148585
HIMACHAL PRADESH,2018,10,148905
HIMACHAL PRADESH,2018,11,209589
HIMACHAL PRADESH,2018,12,221145
HIMACHAL PRADESH,2019,1,191521
HIMACHAL PRADESH,2019,2,159127
HIMACHAL PRADESH,2019,3,172809
JAMMU AND KASHMIR,2018,4,60991
JAMMU AND KASHMIR,2018,5,70212
JAMMU AND KASHMIR,2018,6,60043
JAMMU AND KASHMIR,2018,7,62185
JAMMU AND KASHMIR,2018,8,110821
JAMMU AND KASHMIR,2018,9,123598
JAMMU AND KASHMIR,2018,10,162235
JAMMU AND KASHMIR,2018,11,109646
JAMMU AND KASHMIR,2018,12,158459
JAMMU AND KASHMIR,2019,1,146238
JAMMU AND KASHMIR,2019,2,128957
JAMMU AND KASHMIR,2019,3,255449
JHARKHAND,2018,4,498645
JHARKHAND,2018,5,583030
JHARKHAND,2018,6,616225
JHARKHAND,2018,7,551088
JHARKHAND,2018,8,411676
JHARKHAND,2018,9,371446
JHARKHAND,2018,10,427667
JHARKHAND,2018,11,232738
JHARKHAND,2018,12,153703
JHARKHAND,2019,1,306347
JHARKHAND,2019,2,469312
JHARKHAND,2019,3,522508
KARNATAKA,2018,4,318718
KARNATAKA,2018,5,373524
KARNATAKA,2018,6,452589
KARNATAKA,2018,7,516495
KARNATAKA,2018,8,536453
KARNATAKA,2018,9,531328
KARNATAKA,2018,10,664013
KARNATAKA,2018,11,699896
KARNATAKA,2018,12,898522
KARNATAKA,2019,1,863002
KARNATAKA,2019,2,776923
KARNATAKA,2019,3,597785
KERALA,2018,4,214249
KERALA,2018,5,425608
KERALA,2018,6,604585
KERALA,2018,7,837460
KERALA,2018,8,639763
KERALA,2018,9,886447
KERALA,2018,10,1006178
KERALA,2018,11,1010147
KERALA,2018,12,972740
KERALA,2019,1,1019878
KERALA,2019,2,971070
KERALA,2019,3,884575
LADAKH,2018,4,0
LADAKH,2018,5,0
LADAKH,2018,6,0
LADAKH,2018,7,0
LADAKH,2018,8,0
LADAKH,2018,9,0
LADAKH,2018,10,0
LADAKH,2018,11,0
LADAKH,2018,12,0
LADAKH,2019,1,0
LADAKH,2019,2,0
LADAKH,2019,3,0
MADHYA PRADESH,2018,4,939961
MADHYA PRADESH,2018,5,1188196
MADHYA PRADESH,2018,6,1746414
MADHYA PRADESH,2018,7,1437418
MADHYA PRADESH,2018,8,1083405
MADHYA PRADESH,2018,9,1106267
MADHYA PRADESH,2018,10,1550041
MADHYA PRADESH,2018,11,1178717
MADHYA PRADESH,2018,12,1508879
MADHYA PRADESH,2019,1,1637834
MADHYA PRADESH,2019,2,1384790
MADHYA PRADESH,2019,3,1080230
MAHARASHTRA,2018,4,763432
MAHARASHTRA,2018,5,860719
MAHARASHTRA,2018,6,663884
MAHARASHTRA,2018,7,362665
MAHARASHTRA,2018,8,285706
MAHARASHTRA,2018,9,265694
MAHARASHTRA,2018,10,298013
MAHARASHTRA,2018,11,284691
MAHARASHTRA,2018,12,388111
MAHARASHTRA,2019,1,485831
MAHARASHTRA,2019,2,602456
MAHARASHTRA,2019,3,577979
MANIPUR,2018,4,10335
MANIPUR,2018,5,2208
MANIPUR,2018,6,645
MANIPUR,2018,7,183285
MANIPUR,2018,8,230957
MANIPUR,2018,9,51900
MANIPUR,2018,10,229865
MANIPUR,2018,11,231112
MANIPUR,2018,12,34049
MANIPUR,2019,1,115994
MANIPUR,2019,2,307184
MANIPUR,2019,3,381398
MEGHALAYA,2018,4,41351
MEGHALAYA,2018,5,50533
MEGHALAYA,2018,6,75533
MEGHALAYA,2018,7,112491
MEGHALAYA,2018,8,123935
MEGHALAYA,2018,9,137297
MEGHALAYA,2018,10,181126
MEGHALAYA,2018,11,194644
MEGHALAYA,2018,12,152516
MEGHALAYA,2019,1,239138
MEGHALAYA,2019,2,245043
MEGHALAYA,2019,3,194501
MIZORAM,2018,4,185649
MIZORAM,2018,5,186041
MIZORAM,2018,6,186260
MIZORAM,2018,7,175004
MIZORAM,2018,8,122731
MIZORAM,2018,9,170173
MIZORAM,2018,10,179768
MIZORAM,2018,11,163625
MIZORAM,2018,12,186543
MIZORAM,2019,1,173769
MIZORAM,2019,2,169667
MIZORAM,2019,3,147956
NAGALAND,2018,4,306814
NAGALAND,2018,5,153147
NAGALAND,2018,6,93905
NAGALAND,2018,7,123405
NAGALAND,2018,8,96710
NAGALAND,2018,9,59607
NAGALAND,2018,10,202281
NAGALAND,2018,11,235318
NAGALAND,2018,12,174789
NAGALAND,2019,1,234114
NAGALAND,2019,2,247643
NAGALAND,2019,3,187790
ODISHA,2018,4,641599
ODISHA,2018,5,814050
ODISHA,2018,6,754492
ODISHA,2018,7,489742
ODISHA,2018,8,463563
ODISHA,2018,9,397383
ODISHA,2018,10,435905
ODISHA,2018,11,350532
ODISHA,2018,12,223803
ODISHA,2019,1,279237
ODISHA,2019,2,380929
ODISHA,2019,3,652352
PUNJAB,2018,4,106525
PUNJAB,2018,5,228077
PUNJAB,2018,6,227851
PUNJAB,2018,7,153541
PUNJAB,2018,8,169723
PUNJAB,2018,9,165438
PUNJAB,2018,10,219925
PUNJAB,2018,11,281637
PUNJAB,2018,12,267902
PUNJAB,2019,1,237507
PUNJAB,2019,2,286239
PUNJAB,2019,3,275826
RAJASTHAN,2018,4,1624281
RAJASTHAN,2018,5,1540606
RAJASTHAN,2018,6,2407408
RAJASTHAN,2018,7,1837110
RAJASTHAN,2018,8,1286511
RAJASTHAN,2018,9,1042296
RAJASTHAN,2018,10,1021791
RAJASTHAN,2018,11,1274677
RAJASTHAN,2018,12,1653979
RAJASTHAN,2019,1,2843897
RAJASTHAN,2019,2,3065712
RAJASTHAN,2019,3,2717074
SIKKIM,2018,4,20676
SIKKIM,2018,5,16586
SIKKIM,2018,6,16555
SIKKIM,2018,7,25526
SIKKIM,2018,8,27411
SIKKIM,2018,9,19597
SIKKIM,2018,10,12237
SIKKIM,2018,11,14807
SIKKIM,2018,12,18917
SIKKIM,2019,1,26445
SIKKIM,2019,2,21661
SIKKIM,2019,3,21360
TAMIL NADU,2018,4,677364
TAMIL NADU,2018,5,660692
TAMIL NADU,2018,6,1165290
TAMIL NADU,2018,7,2071754
TAMIL NADU,2018,8,3374348
TAMIL NADU,2018,9,3320040
TAMIL NADU,2018,10,3069880
TAMIL NADU,2018,11,3287084
TAMIL NADU,2018,12,3528984
TAMIL NADU,2019,1,3434620
TAMIL NADU,2019,2,3400953
TAMIL NADU,2019,3,2933114
TELANGANA,2018,4,2193681
TELANGANA,2018,5,2469323
TELANGANA,2018,6,1883209
TELANGANA,2018,7,492845
TELANGANA,2018,8,114783
TELANGANA,2018,9,64886
TELANGANA,2018,10,59809
TELANGANA,2018,11,65783
TELANGANA,2018,12,155687
TELANGANA,2019,1,163625
TELANGANA,2019,2,514490
TELANGANA,2019,3,1184301
TRIPURA,2018,4,39393
TRIPURA,2018,5,182622
TRIPURA,2018,6,266626
TRIPURA,2018,7,253340
TRIPURA,2018,8,270899
TRIPURA,2018,9,400285
TRIPURA,2018,10,124789
TRIPURA,2018,11,280425
TRIPURA,2018,12,328714
TRIPURA,2019,1,234189
TRIPURA,2019,2,211196
TRIPURA,2019,3,107438
UTTAR PRADESH,2018,4,1009067
UTTAR PRADESH,2018,5,2020269
UTTAR PRADESH,2018,6,2279315
UTTAR PRADESH,2018,7,1669402
UTTAR PRADESH,2018,8,993132
UTTAR PRADESH,2018,9,721080
UTTAR PRADESH,2018,10,1199049
UTTAR PRADESH,2018,11,1355307
UTTAR PRADESH,2018,12,1738457
UTTAR PRADESH,2019,1,1763803
UTTAR PRADESH,2019,2,1280102
UTTAR PRADESH,2019,3,1131118
UTTARAKHAND,2018,4,144247
UTTARAKHAND,2018,5,149322
UTTARAKHAND,2018,6,139377
UTTARAKHAND,2018,7,125610
UTTARAKHAND,2018,8,114807
UTTARAKHAND,2018,9,106034
UTTARAKHAND,2018,10,119702
UTTARAKHAND,2018,11,113099
UTTARAKHAND,2018,12,147186
UTTARAKHAND,2019,1,170023
UTTARAKHAND,2019,2,159933
UTTARAKHAND,2019,3,145982
WEST BENGAL,2018,4,797624
WEST BENGAL,2018,5,1002249
WEST BENGAL,2018,6,2018368
WEST BENGAL,2018,7,1870366
WEST BENGAL,2018,8,1485463
WEST BENGAL,2018,9,1676079
WEST BENGAL,2018,10,1876092
WEST BENGAL,2018,11,2229345
WEST BENGAL,2018,12,2301831
WEST BENGAL,2019,1,1603711
WEST BENGAL,2019,2,641485
WEST BENGAL,2019,3,303331
ANDAMAN AND NICOBAR,2018,4,1298
ANDAMAN AND NICOBAR,2018,5,1629
ANDAMAN AND NICOBAR,2018,6,1079
ANDAMAN AND NICOBAR,2018,7,1401
ANDAMAN AND NICOBAR,2018,8,1474
ANDAMAN AND NICOBAR,2018,9,1165
ANDAMAN AND NICOBAR,2018,10,1179
ANDAMAN AND NICOBAR,2018,11,1502
ANDAMAN AND NICOBAR,2018,12,1970
ANDAMAN AND NICOBAR,2019,1,2997
ANDAMAN AND NICOBAR,2019,2,3104
ANDAMAN AND NICOBAR,2019,3,2230
DN HAVELI AND DD,2018,4,0
DN HAVELI AND DD,2018,5,0
DN HAVELI AND DD,2018,6,0
DN HAVELI AND DD,2018,7,0
DN HAVELI AND DD,2018,8,0
DN HAVELI AND DD,2018,9,0
DN HAVELI AND DD,2018,10,0
DN HAVELI AND DD,2018,11,0
DN HAVELI AND DD,2018,12,0
DN HAVELI AND DD,2019,1,0
DN HAVELI AND DD,2019,2,0
DN HAVELI AND DD,2019,3,0
LAKSHADWEEP,2018,4,80
LAKSHADWEEP,2018,5,83
LAKSHADWEEP,2018,6,35
LAKSHADWEEP,2018,7,62
LAKSHADWEEP,2018,8,43
LAKSHADWEEP,2018,9,32
LAKSHADWEEP,2018,10,70
LAKSHADWEEP,2018,11,83
LAKSHADWEEP,2018,12,42
LAKSHADWEEP,2019,1,83
LAKSHADWEEP,2019,2,53
LAKSHADWEEP,2019,3,44
PUDUCHERRY,2018,4,2187
PUDUCHERRY,2018,5,3399
PUDUCHERRY,2018,6,14504
PUDUCHERRY,2018,7,22524
PUDUCHERRY,2018,8,16433
PUDUCHERRY,2018,9,6360
PUDUCHERRY,2018,10,7742
PUDUCHERRY,2018,11,1422
PUDUCHERRY,2018,12,2122
PUDUCHERRY,2019,1,2297
PUDUCHERRY,2019,2,8374
PUDUCHERRY,2019,3,9358
ANDHRA PRADESH,2019,4,3422524
ANDHRA PRADESH,2019,5,3763240
ANDHRA PRADESH,2019,6,3442049
ANDHRA PRADESH,2019,7,2788995
ANDHRA PRADESH,2019,8,1526650
ANDHRA PRADESH,2019,9,1311771
ANDHRA PRADESH,2019,10,1052394
ANDHRA PRADESH,2019,11,1294240
ANDHRA PRADESH,2019,12,1574010
ANDHRA PRADESH,2020,1,1871163
ANDHRA PRADESH,2020,2,2520955
ANDHRA PRADESH,2020,3,2673667
ARUNACHAL PRADESH,2019,4,5465
ARUNACHAL PRADESH,2019,5,13059
ARUNACHAL PRADESH,2019,6,43020
ARUNACHAL PRADESH,2019,7,51362
ARUNACHAL PRADESH,2019,8,42408
ARUNACHAL PRADESH,2019,9,36152
ARUNACHAL PRADESH,2019,10,42788
ARUNACHAL PRADESH,2019,11,56301
ARUNACHAL PRADESH,2019,12,69775
ARUNACHAL PRADESH,2020,1,69640
ARUNACHAL PRADESH,2020,2,71341
ARUNACHAL PRADESH,2020,3,33279
ASSAM,2019,4,588984
ASSAM,2019,5,804656
ASSAM,2019,6,687815
ASSAM,2019,7,405809
ASSAM,2019,8,310946
ASSAM,2019,9,280462
ASSAM,2019,10,145860
ASSAM,2019,11,386463
ASSAM,2019,12,404726
ASSAM,2020,1,555917
ASSAM,2020,2,729995
ASSAM,2020,3,767990
BIHAR,2019,4,1144390
BIHAR,2019,5,1252400
BIHAR,2019,6,1342057
BIHAR,2019,7,740406
BIHAR,2019,8,487305
BIHAR,2019,9,451254
BIHAR,2019,10,488289
BIHAR,2019,11,708488
BIHAR,2019,12,796982
BIHAR,2020,1,1116644
BIHAR,2020,2,1341662
BIHAR,2020,3,1138485
CHHATTISGARH,2019,4,1368599
CHHATTISGARH,2019,5,1474913
CHHATTISGARH,2019,6,1307244
CHHATTISGARH,2019,7,307140
CHHATTISGARH,2019,8,161542
CHHATTISGARH,2019,9,158745
CHHATTISGARH,2019,10,215123
CHHATTISGARH,2019,11,435055
CHHATTISGARH,2019,12,1084799
CHHATTISGARH,2020,1,1313193
CHHATTISGARH,2020,2,1351583
CHHATTISGARH,2020,3,1327575
GOA,2019,4,27
GOA,2019,5,49
GOA,2019,6,112
GOA,2019,7,17
GOA,2019,8,35
GOA,2019,9,20
GOA,2019,10,21
GOA,2019,11,93
GOA,2019,12,820
GOA,2020,1,885
